37799,The Social Network
437586,Mid90s
44115,127 Hours
241554,Run All Night
446791,All the Money in the World
314365,Spotlight
363676,Sully
28178,Hachi: A Dog's Tale
293863,The Age of Adaline
122081,Spring Breakers
15472,The Girl with the Dragon Tattoo
45317,The Fighter
4347,Atonement
2567,The Aviator
2502,The Bourne Supremacy
311291,45 Years
122906,About Time
339380,On the Basis of Sex
109491,Beautiful Creatures
146233,Prisoners
70,Million Dollar Baby
266856,The Theory of Everything
489925,Eighth Grade
109424,Captain Phillips
184125,Assault on Wall Street
274870,Passengers
467936,The Children Act
6479,I Am Legend
68730,Silence
491472,At Eternity's Gate
296524,Deepwater Horizon
379149,The Foreigner
45269,The King's Speech
62835,Colombiana
346685,The Girl on the Train
13223,Gran Torino
371638,The Disaster Artist
463858,The Freshmen
385332,Terminal
345920,Collateral Beauty
82695,Les Mis¨¦rables
10184,He's Just Not That Into You
536176,Brexit: The Uncivil War
338766,Hell or High Water
413362,Roman J. Israel, Esq.
339692,Shot Caller
9509,Man on Fire
505192,Shoplifters
518452,Like Father
1495,Kingdom of Heaven
1491,The Illusionist
75174,The Grey
258216,Nymphomaniac: Vol. I
318846,The Big Short
314095,The Lost City of Z
462698,Fantasy of the Girls
507419,Inba Twinkle Lilly
7345,There Will Be Blood
44826,Hugo
7978,The Wolfman
376867,Moonlight
8456,Never Back Down
14047,The Great Debaters
2026,Hostage
142,Brokeback Mountain
339988,The Circle
13811,Knowing
446696,Life Itself
83542,Cloud Atlas
513574,Battle
196867,Annie
289222,The Zookeeper's Wife
68734,Argo
9762,Step Up
110415,Snowpiercer
8065,21
8328,Step Up 2: The Streets
369523,The Tale
426613,The Miseducation of Cameron Post
533992,When Angels Sleep
46705,Blue Valentine
372343,The Snowman
295011,Patient Zero
339877,Loving Vincent
300671,13 Hours: The Secret Soldiers of Benghazi
493006,Detective Conan: Zero the Enforcer
121046,Eternity
1372,Blood Diamond
256591,Focus
12201,Edge of Darkness
376290,Miss Sloane
493551,Operation Finale
470878,I Can Only Imagine
20497,Ballet Shoes
154400,The Drop
2503,The Bourne Ultimatum
186,Lucky Number Slevin
423087,6 Below: Miracle on the Mountain
22971,Dear John
302946,The Accountant
